batch,position,company_name
1,1,"Awdurdod Cyllid Cymru | Welsh Revenue Authority"
1,2,"Seven League"
1,3,"Medr"
1,4,"Hampton By Hilton Manchester City, Northern Quarter"
1,5,"SIGNET JEWELERS BRANDS LIMITED"
1,6,"Barclays Innovation Hub powered by Eagle Labs"
1,7,"HDR | Andrew Reid"
1,8,"Hilton London Tower Bridge"
1,9,"Hyaltech Ltd, a CZM AG company"
1,10,"DoubleTree by Hilton Manchester Airport"
1,11,"Hilton Garden Inn London Heathrow"
1,12,"Milltown Partners"
1,13,"Conrad London St. James"
1,14,"Glasgow Westerwood Hotel, Spa & Golf Resort"
1,15,"Hilton Leeds City"
1,16,"ADS Group Ltd"
1,17,"Gwasanaeth Ynni Llywodraeth Cymru | Welsh Government Energy Service"
1,18,"Greenberg Traurig London"
1,19,"Hilton Cardiff"
1,20,"Hilton London Watford"
1,21,"Principal. Global Events"
1,22,"Canopy by Hilton London City Hotel"
1,23,"McCann London"
1,24,"Brsk"
1,25,"The Bartlett School of Architecture, UCL"
2,1,"Hult Ashridge Executive Education"
2,2,"Munich Re Specialty - Global Markets, UK"
2,3,"Cath Kidston"
2,4,"Blueprint Gaming Ltd."
2,5,"Aspectus Group"
2,6,"Kingston School of Art"
2,7,"OCS Consulting"
2,8,"University of Bristol Business School"
2,9,"Audacia"
2,10,"Gateway Communications"
2,11,"Vizlib - insightsoftware"
2,12,"Brunswick Investor Brand"
2,13,"Trilogy International, A Korn Ferry Company"
2,14,"Privitar"
2,15,"Thunderhead, by Medallia"
2,16,"FutureGov NOW TPXimpact"
2,17,"Revantage UK, A Blackstone Portfolio Company"
2,18,"Raft"
2,19,"Citizens UK"
2,20,"CVC Secondary Partners"
2,21,"Fuller Research Group"
2,22,"Xl Capital Ltd"
2,23,"berg - merged with Kennedys"
2,24,"Playtech Neon"
2,25,"The Manchester Deansgate Hotel, by IHG"
3,1,"Trumeter"
3,2,"Hyatt Hotels Manchester"
3,3,"Preact"
3,4,"Manchester Institute of Health & Performance - Nuffield Health"
3,5,"MRC-University of Glasgow Centre for Virus Research (CVR)"
3,6,"Mediation Clinic at University of Strathclyde"
3,7,"Wind & Marine Energy Systems & Structures CDT"
3,8,"Department of Work, Employment and Organisation"
3,9,"University of Glasgow School of Law"
3,10,"Hilton Garden Inn, Glasgow"
3,11,"Department of Physics, University of Strathclyde"
3,12,"Department of Civil & Environmental Engineering, University of Strathclyde"
3,13,"Institute of Molecular, Cell and Systems Biology - University of Glasgow"
3,14,"Strathclyde Law School"
3,15,"Hunter Centre for Entrepreneurship, Strategy, and Innovation, Strathclyde Business School"
3,16,"Glasgow University Women's Hockey Club"
3,17,"Strathclyde Institute of Education"
3,18,"Department of Design, Manufacturing and Engineering Management, University of Strathclyde"
3,19,"The Hunterian"
3,20,"University of Glasgow - Hospitality & Events"
3,21,"GALLANT"
3,22,"Glasgow Marriott Hotel"
3,23,"Strathclyde Chemical & Process Engineering"
3,24,"University of Glasgow Lacrosse Club"
3,25,"University of Glasgow Sport"
4,1,"West Midlands Health Tech Innovation Accelerator - WMHTIA"
4,2,"Aloft Birmingham Eastside"
4,3,"Hilton Garden Inn Birmingham, Brindleyplace"
4,4,"Greenhouse Communications"
4,5,"UWE Bristol Sport"
4,6,"Nuffield Health Bristol Hospital"
4,7,"Smart Internet Lab"
4,8,"Analytics, Technology and Operations Department, Leeds University Business School"
4,9,"School of Built Environment, Engineering and Computing @ Leeds Beckett University"
4,10,"Nutrition and Dietetics - Leeds Beckett University"
4,11,"We are Vista - Communications Agency"
4,12,"AKER OFFSHORE PARTNER LIMITED"
4,13,"Beckett Sport"
4,14,"RAM Tracking"
4,15,"Hyatt Place & Hyatt House Leeds"
4,16,"PECAN DELUXE CANDY (EUROPE) LIMITED"
4,17,"Leeds Marriott Hotel"
4,18,"Hilton Edinburgh Carlton"
4,19,"Clifton Hall School"
4,20,"The Edinburgh Grand, a Luxury Collection Hotel, Edinburgh"
4,21,"IndigoVision"
4,22,"Institute of Occupational Medicine (IOM)"
4,23,"Self-Employed / Contractor"
4,24,"Edinburgh Marriott Hotel Holyrood"
4,25,"Institute for Global Food Security"
5,1,"Photonic Integration and Advanced Data Storage Centre for Doctoral Training"
5,2,"CSIT"
5,3,"Centre for Wireless Innovation (CWI) | Queen's University Belfast"
5,4,"Queen's Accommodation"
5,5,"Pixel Power | An Imagine Communications Company"
5,6,"RAND Europe"
5,7,"Hilton Cambridge City Centre"
5,8,"SUERC: Centre for the Isotope Sciences"
5,9,"University of Glasgow, School of Social & Environmental Sustainability"
5,10,"Hampton by Hilton Hamilton Park"
5,11,"Axis-Shield Diagnostics"
5,12,"8over8"
5,13,"Nautilus Trust"
5,14,"University of Birmingham | Business Engagement"
5,15,"Health Economics Unit, Birmingham"
5,16,"University of Birmingham Law School"
5,17,"School of Medical Sciences, University of Birmingham"
5,18,"M3.agency"
5,19,"CHH"
5,20,"CRM"
5,21,"School of Infection, Inflammation and Immunology, University of Birmingham"
5,22,"School of Sport, Exercise and Rehabilitation Sciences"
5,23,"School of Chemistry, University of Birmingham"
5,24,"Public Health Institute, Liverpool John Moores University"
5,25,"DoubleTree by Hilton Hotel & Spa Liverpool"
6,1,"Hard Days Night Hotel"
6,2,"WOOLWORTHS HOLDINGS LIMITED"
6,3,"School of Pharmacy and Biomolecular Sciences at Liverpool John Moores University"
6,4,"Nottingham Law School"
6,5,"Red Box (Now part of Uniphore)"
6,6,"Hilton Southampton - Utilita Bowl"
6,7,"City Networks"
6,8,"DoubleTree by Hilton Coventry"
6,9,"Hampton By Hilton Bath City"
6,10,"DoubleTree by Hilton Bath"
6,11,"Truespeed"
6,12,"Nuffield Health, Exeter Hospital"
6,13,"Epson UK & I"
6,14,"DoubleTree by Hilton London Elstree"
6,15,"Hilton York"
6,16,"Hampton by Hilton York Piccadilly"
6,17,"Durham University Department of Chemistry"
6,18,"Durham University Department of Earth Sciences"
6,19,"University of Durham, St John's College"
6,20,"Van Mildert College"
6,21,"Durham Law School"
6,22,"Institute for Medical Humanities, Durham University"
6,23,"Durham University Computer Science"
6,24,"Durham University Department of English Studies"
6,25,"Durham University Water Polo Club"
7,1,"Durham Geography"
7,2,"Durham University Department of Engineering"
7,3,"Durham University Department of Archaeology"
7,4,"Norwich Bioscience Institutes (NBI) Partnership"
7,5,"FAIRSTEAD PROPERTY MANAGEMENT LIMITED"
7,6,"University of Derby - Health, Lifestyle & Rehabilitation Centre"
7,7,"University of Derby - Business Services"
7,8,"DB ESG"
7,9,"Madgex: A Wiley Brand"
7,10,"Surrey Business School, University of Surrey"
7,11,"Lakeside Restaurant and Coffee Shop"
7,12,"Centre for Vision, Speech and Signal Processing at University of Surrey"
7,13,"Criterion Games"
7,14,"ORIDA Hotels Maidstone"
7,15,"GA Solicitors"
7,16,"IMG Media"
7,17,"Belfast City Council"
7,18,"Llywodraeth Cymru / Welsh Government"
7,19,"Time Inc. UK"
7,20,"IMG Studios"
7,21,"Barclaycard"
7,22,"Prifysgol Aberystwyth University"
7,23,"Esri UK"
7,24,"Thomas Miller"
7,25,"Health Management"
8,1,"Servaada - a Wipro Company"
8,2,"Air Products UKI"
8,3,"Universal International Studios"
8,4,"GALLAGHERS LIMITED"
8,5,"Coca-Cola Europacific Partners"
8,6,"Christie's"
8,7,"WHISHWORKS is now Coforge"
8,8,"Hilton Newcastle Tyne Bridge"
8,9,"Blue Chip Data Systems (now part of GCI)"
8,10,"BCDE"
8,11,"Pentair"
8,12,"Flight Refuelling Ltd"
8,13,"Cobra Biologics, A Charles River Company"
8,14,"Pizza Hut UK & Europe"
8,15,"Kleinwort Hambros"
8,16,"Hilton London Kensington"
8,17,"Leeds University Business School"
8,18,"Hilton London Paddington"
8,19,"4C"
8,20,"JMAN Group"
8,21,"Romax Technology"
8,22,"Hurley Palmer Flatt"
8,23,"Hilton London Canary Wharf"
8,24,"The Biltmore Mayfair"
8,25,"hybytes"
9,1,"Hilton London Syon Park"
9,2,"HDR | Hurley Palmer Flatt Group"
9,3,"WM Reply"
9,4,"Northeastern University London"
9,5,"MD Group"
9,6,"VaynerMedia EMEA"
9,7,"Milwaukee Tool UK"
9,8,"Tangible Benefit - A Bechtle Group Company"
9,9,"Multiplay"
9,10,"The Chelsea Harbour Hotel & Spa"
9,11,"DoubleTree by Hilton London Kensington"
9,12,"LIV Golf"
9,13,"Mint Group"
9,14,"AEGIS London"
9,15,"Paymentsense"
9,16,"Gerald Group"
9,17,"St. Pancras London"
9,18,"Xuber"
9,19,"Acrisure London Wholesale"
9,20,"Cartesian"
9,21,"M&G Real Estate"
9,22,"Bimbo UK"
9,23,"Qube Global Software"
9,24,"Imperial College Computing"
9,25,"Process Systems Enterprise (PSE)"
10,1,"DrayTek UK & Ireland"
10,2,"ITV News"
10,3,"Kocho"
10,4,"Codurance"
10,5,"Intelstack"
10,6,"Manager AI"
10,7,"Venda"
10,8,"Objectivity is now Accenture"
10,9,"Wavenet Connected"
10,10,"Goodtill by SumUp"
10,11,"Sparks EMEA"
10,12,"DoubleTree by Hilton London - Tower of London"
10,13,"Andaz London Liverpool Street"
10,14,"Code Worldwide"
10,15,"The Mill"
10,16,"SolidWorks Designer"
10,17,"FCB Health London | An IPG Health Company"
10,18,"Karmarama"
10,19,"BCS Consulting, part of Accenture"
10,20,"UCL Computer Science"
10,21,"UCL Institute of Ophthalmology"
10,22,"Mansion House Reply"
10,23,"Nextgen Clearing Ltd"
10,24,"Calastone"
10,25,"Maven Securities"
11,1,"STM Group"
11,2,"Friends Life"
11,3,"Institute of Global Health Innovation"
11,4,"Nordson Test & Inspection"
11,5,"Birmingham Business School"
11,6,"Local Policy Innovation Partnership (LPIP) Hub"
11,7,"Birmingham Centre for Neurogenetics"
11,8,"School of Psychology, University of Birmingham"
11,9,"INLOGOV (The Institute of Local Government Studies)"
11,10,"Healthcare Technologies Institute"
11,11,"Dura Automotive Body & Glass Systems UK Limited"
11,12,"Xalient"
11,13,"Leeds School of Arts, Leeds Beckett University"
11,14,"Nuffield Health Leeds Hospital"
11,15,"Global Food and Environment Institute, University of Leeds"
11,16,"The Bragg Centre for Materials Research"
11,17,"Glide Fibre Ltd"
11,18,"M247UK"
11,19,"Manchester Marriott Hotel Piccadilly"
11,20,"Delta Hotels by Marriott Worsley Park Country Club"
11,21,"IBM Symatrix"
11,22,"WEX Europe Services Limited"
11,23,"Dean Wood"
11,24,"Inspired Global Cuisine"
11,25,"Ascent Performance Group Ltd"
12,1,"ClearCloud"
12,2,"UWE Bristol's International College"
12,3,"Intertek Melbourn"
12,4,"Papworth Trust"
12,5,"Nuffield Health The Manor Hospital"
12,6,"AllPoints Fibre Networks"
12,7,"Atex"
12,8,"LJMU Faculty of Engineering and Technology"
12,9,"Nuffield Health Leicester Hospital"
12,10,"Team Durham"
12,11,"Durham University Department of Mathematical Sciences"
12,12,"Durham University Business School"
12,13,"Turcan Connell"
12,14,"Maclay Murray & Spens LLP"
12,15,"University of Glasgow School of Health and Wellbeing"
12,16,"IES Ltd."
12,17,"Help to Grow: Management at Strathclyde Business School"
12,18,"University of Glasgow Advanced Research Centre"
12,19,"Hampton by Hilton Belfast City Centre"
12,20,"School of Pharmacy at Queen's University Belfast"
12,21,"Queen's Student Managed Fund"
12,22,"Kingfisher Country Estate"
12,23,"Momentum One Zero"
12,24,"Wellcome-Wolfson Institute for Experimental Medicine"
12,25,"MacLean International Group, a DNOW Company"
13,1,"IDBS"
13,2,"Motion Applied"
13,3,"M&G Wealth Platform"
13,4,"toob"
13,5,"NNUH Digital Health"
13,6,"NIQ Brandbank"
13,7,"Arrow Security Solutions"
13,8,"DoubleTree by Hilton London Angel Kings Cross"
13,9,"Cobham"
13,10,"Arrow ECS United Kingdom"
13,11,"Crystal Travel"
13,12,"London Hilton On Park Lane"
13,13,"Lumesse"
13,14,"GCI"
13,15,"Hilton London Bankside"
13,16,"Royal Veterinary College"
13,17,"European Bioinformatics Institute | EMBL-EBI"
13,18,"Kingsley Napley"
13,19,"Hudl Statsbomb"
13,20,"EY Lane4"
13,21,"Nuffield Health Parkside Hospital"
13,22,"Alternative Networks (now part of Daisy Group)"
13,23,"Diodes Incorported"
13,24,"Queen's University Belfast | School of Mathematics and Physics"
13,25,"Avance Consulting"
14,1,"VCCP"
14,2,"Tesco Media"
14,3,"UCL Dept of Civil, Environmental & Geomatic Engineering"
14,4,"Spark44"
14,5,"Unruly"
14,6,"Agribusiness intelligence | IHS Markit"
14,7,"Markit"
14,8,"Macro"
14,9,"Gravity Global"
14,10,"Eutelsat OneWeb"
14,11,"Hyatt Regency London - The Churchill"
14,12,"Lower Thames Crossing"
14,13,"EKOS Corporation, a BTG International group company"
14,14,"NEXT Wholly Owned Brands"
14,15,"CCF"
14,16,"Arbonne Polska"
14,17,"Anritsu - Product Inspection & Detection (EMEA)"
14,18,"HSB | UK and Ireland"
14,19,"ANS Group"
14,20,"MaNOC Ltd."
14,21,"Mobica"
14,22,"McCANN Leeds"
14,23,"SMA"
14,24,"University of Glasgow Adam Smith Business School"
14,25,"University of Glasgow School of Education"
15,1,"University of Glasgow, College of Arts & Humanities"
15,2,"University of Glasgow, College of Social Sciences"
15,3,"University of Strathclyde - Humanities & Social Sciences"
15,4,"Department of Naval Architecture, Ocean and Marine Engineering, University of Strathclyde"
15,5,"University of Glasgow School of Infection & Immunity"
15,6,"InterGen"
15,7,"Penumbra Mental Health"
15,8,"LiGTest"
15,9,"Oldham Council"
15,10,"Tate & Lyle"
15,11,"Transitions Optical"
15,12,"Durham University"
15,13,"University of Surrey"
15,14,"University of Strathclyde"
15,15,"Ashurst"
15,16,"RELX"
15,17,"Dialectica"
15,18,"Liverpool John Moores University"
15,19,"Canonical"
15,20,"Lloyd's"
15,21,"Northern Powergrid"
15,22,"Brunswick Group"
15,23,"Cambridge English"
15,24,"CFC"
15,25,"Tribal Group"
16,1,"GlobalData Healthcare"
16,2,"M&G for Advisers"
16,3,"WPP Brand Consulting"
16,4,"SumUp"
16,5,"Euromonitor International"
16,6,"Taylor Wessing"
16,7,"Mishcon de Reya LLP"
16,8,"Tesco Technology"
16,9,"Clarion Events"
16,10,"IG"
16,11,"UCL Bartlett Faculty of the Built Environment"
16,12,"Dialog Solutions (now Clarivate)"
16,13,"Enclude: A Palladium Company"
16,14,"Queen's University Belfast"
16,15,"Hunter Macdonald Ltd"
16,16,"Stephenson College"
16,17,"James Watt School of Engineering, University of Glasgow"
16,18,"Nuffield Health Glasgow Hospital"
16,19,"Centre for Sustainable Development"
16,20,"University of Glasgow, College of Medical, Veterinary and Life Sciences"
16,21,"Liverpool Business School"
16,22,"LJMU Doctoral Academy"
16,23,"LJMU School of Humanities and Social Science"
16,24,"LJMU Student Futures"
16,25,"McBride"
17,1,"BLM"
17,2,"Intertek Pharmaceutical Services"
17,3,"Aston University"
17,4,"National Highways"
17,5,"The Knowledge Exchange (TKE) at Leeds Beckett University"
17,6,"The Retail Institute"
17,7,"Farnell Electronics"
17,8,"Principality Building Society"
17,9,"Instinctive BI (now Version 1)"
17,10,"University of Bristol"
17,11,"University of the West of England"
17,12,"GlobalData Consumer"
17,13,"Automation Logic (now Version 1)"
17,14,"GlobalData Plc"
17,15,"Portaltech Reply"
17,16,"FSI, an MRI Software Company"
17,17,"Cadis Software"
