batch,position,company_name
17,18,"Info-Tech Research Group"
17,19,"Bureau van Dijk - A Moody's Company"
17,20,"GlobalData Retail"
17,21,"Boldyn Networks"
17,22,"GlobalData Technology"
17,23,"GlobalData Strategic Intelligence"
17,24,"Independent Clinical Services"
17,25,"dunnhumby"
18,1,"The Qubix Group (Now Version 1)"
18,2,"Linklaters"
18,3,"Baringa"
18,4,"Fjord, Part of Accenture Song"
18,5,"BSI"
18,6,"AlphaSights"
18,7,"Tribal Worldwide"
18,8,"McCann Worldgroup UK & Europe"
18,9,"HH Global"
18,10,"Akin Gump Strauss Hauer & Feld LLP"
18,11,"CACI Ltd"
18,12,"InnerWorkings"
18,13,"Partner Property Consultants"
18,14,"Zone"
18,15,"Financial Conduct Authority"
18,16,"Royal London"
18,17,"DeltaOne Solutions, by MARKIT"
18,18,"Saxo UK"
18,19,"Third Bridge Group"
18,20,"Kennedys"
18,21,"Tokio Marine HCC International"
18,22,"M&G Investments"
18,23,"Stifel Europe"
18,24,"Beazley"
18,25,"Gallagher Re"
19,1,"Encore Capital LLP"
19,2,"Imperial College Business School"
19,3,"City Lit"
19,4,"Greenwich Business School"
19,5,"Kingston University"
19,6,"BSI Training Academy"
19,7,"Shangri-La The Shard, London"
19,8,"Deliveroo"
19,9,"Abercrombie & Kent Destination Management"
19,10,"Bristol Myers Squibb UK & Ireland"
19,11,"Urban Outfitters Europe"
19,12,"Jimmy Choo"
19,13,"Save the Children UK"
19,14,"University of Leeds"
19,15,"SDL"
19,16,"Fidelity International"
19,17,"Clyde & Co"
19,18,"Mindshare"
19,19,"Zenith"
19,20,"Anglian Water Services"
19,21,"AWE"
19,22,"IMI Industrial Automation"
19,23,"Advania UK"
19,24,"Clydesdale Bank"
19,25,"Hotels AI"
20,1,"new"
20,2,"Small Animal Hospital Glasgow"
20,3,"University of Glasgow Student Enterprise"
20,4,"Business App Developer"
20,5,"DLA Piper"
20,6,"Mastek"
20,7,"Schroders"
20,8,"Acacium Group"
20,9,"Kin + Carta"
20,10,"Dragonfly from Dow Jones"
20,11,"Hitachi Consulting ( formerly Information Management Group)"
20,12,"Schroders Investment Trusts, UK"
20,13,"FinTech Foundry"
20,14,"Primetals Technologies"
20,15,"Capco"
20,16,"Lewisham Council"
20,17,"Hitachi Consulting (formerly Celerant Consulting)"
20,18,"SANTANDER ASSET FINANCE PLC"
20,19,"Blockchain.com"
20,20,"Friends Provident"
20,21,"GFT Financial Limited"
20,22,"Acuity Analytics"
20,23,"University of Glasgow"
20,24,"School of Chemistry University of Glasgow"
20,25,"ScottishPower"
21,1,"Strathclyde University - Department of Architecture"
21,2,"University of Glasgow School of Geographical and Earth Sciences"
21,3,"SCC"
21,4,"Birmingham Energy Institute"
21,5,"HEFi (Higher Education Futures institute)"
21,6,"University of Birmingham"
21,7,"AVEVA"
21,8,"IQVIA NLP"
21,9,"Planning at Queen's University Belfast"
21,10,"Queen's University Belfast | School of Electronics, Electrical Engineering & Computer Science EEECS"
21,11,"Queen's University Belfast | School of Natural and Built Environment"
21,12,"Queen's University Belfast | Faculty of Engineering and Physical Sciences"
21,13,"Reuters News Agency"
21,14,"MSCI Carbon Markets"
21,15,"Financial Times"
21,16,"Gobeyond Partners"
21,17,"Mace"
21,18,"Clifford Chance"
21,19,"ICAP"
21,20,"ScanSafe"
21,21,"CVS Caremark"
21,22,"TJX Europe"
21,23,"DoubleTree by Hilton Leeds"
21,24,"The Salvation Army, International Headquarters"
21,25,"Hilton Careers UK&I"
22,1,"ZEISS Vision"
22,2,"Lloyds Banking Group"
22,3,"Johnson & Johnson Innovative Medicine"
22,4,"Fife Council"
22,5,"Galaxy Entertainment Group"
22,6,"Halifax"
22,7,"EY Private Client Services"
22,8,"RDC"
22,9,"Stackhouse Poland"
22,10,"Gallagher UK"
22,11,"Pharmaron Radiolabelled Sciences"
22,12,"Motion Control - UK"
22,13,"Edesix"
22,14,"Asda Logistics Services"
22,15,"Tetra Tech Europe"
22,16,"Leeds Beckett University"
22,17,"Asda"
22,18,"Legends Global (Europe)"
22,19,"Siemens Electrical Products GB&I"
22,20,"MoveWell - University of Birmingham"
22,21,"Delcam"
22,22,"The Binding Site"
22,23,"Veolia Transport"
22,24,"Olivehorse Consulting"
22,25,"University of Glasgow School of Computing Science"
23,1,"School of Mathematics & Statistics, University of Glasgow"
23,2,"University of Glasgow, School of Physics and Astronomy"
23,3,"Nuffield Health Cardiff & Vale Hospitals"
23,4,"University of Cambridge"
23,5,"Cambridge University Press & Assessment"
23,6,"HSBC"
23,7,"Unilever"
23,8,"BAE Systems"
23,9,"Shell"
23,10,"EY"
23,11,"LEGION"
23,12,"Dart Developer"
23,13,"The Leading Edge"
23,14,"Cloud Security Provider"
23,15,"Windows App Developer"
23,16,"Aecus Limited"
23,17,"VCCP Health"
23,18,"NFOSYS LTD"
23,19,"Gower Limited"
23,20,"FinTech Connect"
23,21,"PELHAM CAPITAL LTD"
23,22,"Optal - a WEX company"
23,23,"Trucost"
23,24,"Quorsus - Part of Capgemini"
23,25,"Wealth AI"
24,1,"The Route - City wealth club"
24,2,"DueDil (now FullCircl)"
24,3,"THOMAS MILLER P&I LTD"
24,4,"Angel Investor"
24,5,"InsurTech Lab"
24,6,"Frank Hirth"
24,7,"RSA INVESTMENTS LTD"
24,8,"The Bartlett Development Planning Unit, UCL"
24,9,"Employability & Apprenticeships - University of Greenwich"
24,10,"Pearson"
24,11,"Education Industry"
24,12,"School of Convergence Science, Imperial College London"
24,13,"UCL"
24,14,"Imperial College London"
24,15,"EF Executive Language Institute"
24,16,"Just IT"
24,17,"UCL Global Business School for Health"
24,18,"The Bartlett School of Sustainable Construction UCL"
24,19,"Kingston Business School"
24,20,"DLA Piper's Global Scholarship Program"
24,21,"Berlitz London"
24,22,"British Council"
24,23,"Guy's and St Thomas' NHS Foundation Trust"
24,24,"Nuffield Health"
24,25,"DaVita International"
25,1,"DLOC Biosystems"
25,2,"Animal Aspirations"
25,3,"GLAMOROUS.AI"
25,4,"BSI GROUP LIMITED"
25,5,"Habitual"
25,6,"Centre for Genome Engineering and Maintenance, Brunel University of London"
25,7,"The Derby London City, Curio Collection by Hilton"
25,8,"CCW Executive Exchange"
25,9,"State"
25,10,"London Startup Network"
25,11,"The Cumberland Hotel"
25,12,"Aloft London Excel"
25,13,"Lutron Europe"
25,14,"Invensys - Acquired by Schneider Electric"
25,15,"PharmaReview Ltd"
25,16,"Coats"
25,17,"BAE Systems Air"
25,18,"Energy Response"
25,19,"GSK"
25,20,"Johnson Matthey"
25,21,"Rexam PLC"
25,22,"HSYSTEM LTD"
25,23,"ERDEM"
25,24,"Dija (now Gopuff)"
25,25,"Octopus Electric Vehicles"
26,1,"THE GROCERY SHOP LIMITED"
26,2,"CHANEL"
26,3,"LVMH Fashion Group UK"
26,4,"Westfield Stratford City"
26,5,"Lipsy London"
26,6,"Fashion & Art Magazine"
26,7,"Optimum Nutrition"
26,8,"ICF Consulting Services"
26,9,"GovTech"
26,10,"Lewisham Council Housing Services"
26,11,"Young Entrepreneurs"
26,12,"World Vision"
26,13,"London Professional Network"
26,14,"Brunel Volunteers"
26,15,"UNLEASH"
26,16,"CDP"
26,17,"Freemasons"
26,18,"Blue Trotter Media Ltd"
26,19,"5K Records Limited"
26,20,"Snap Fitness EMEA"
26,21,"Playtech"
26,22,"NFL UK & Ireland"
26,23,"Little Games"
26,24,"IGT"
26,25,"Moonbug Entertainment"
27,1,"KingMakers"
27,2,"ETON ASSOCIATES"
27,3,"ATKINS ENGINEERING LIMITED"
27,4,"MaceTPM"
27,5,"EnBW Generation UK"
27,6,"Urenco Global"
27,7,"National Grid"
27,8,"Shell Energy"
27,9,"AC Hotel by Marriott Manchester Salford Quays"
27,10,"no page"
27,11,"UKFast"
27,12,"COLLIER INTERNATIONAL LIMITED"
27,13,"IBN-SINA PHARMA LIMITED"
27,14,"University of Birmingham Enterprise"
27,15,"Science 2 Industry - A new partnership between the STFC, The MTC and the University of Birmingham"
27,16,"University of Birmingham Economics Society (BECS)"
27,17,"Birmingham Institute for Sustainability and Climate Action"
27,18,"BactiVac"
27,19,"Edward Cadbury Centre"
27,20,"Birmingham Energy Materials Group"
27,21,"BhamXR"
27,22,"Health Services Management Centre (HSMC)"
27,23,"Leeds Law School"
27,24,"THE ASDA FOUNDATION"
27,25,"Leeds Beckett University Football Club"
28,1,"Nuffield Centre for International Health and Development"
28,2,"Carnegie Centre of Excellence for Mental Health in Schools"
28,3,"Evans Easyspace Ltd"
28,4,"Leeds Sustainability Institute"
28,5,"Beckett Careers"
28,6,"ADITI TEC LTD"
28,7,"University of Glasgow, Student Learning Development"
28,8,"HealthTech Innovation & Translation Lab"
28,9,"Research Culture and Researcher Development at the University of Glasgow"
28,10,"AMRL"
28,11,"Applied Space Technology Laboratory"
28,12,"Glasgow University Netball Club"
28,13,"Living Laboratory"
28,14,"Education for Sustainable Futures MSc / University of Glasgow"
28,15,"Aloft by Marriott Belfast, Titanic Quarter"
28,16,"HPN - High Performance Networks"
28,17,"Future Medicines Institute"
28,18,"Neueda"
28,19,"QUB Centre for Technological Innovation, Mental Health and Education (TIME)"
28,20,"IW Group Services (UK) Limited"
28,21,"W2 (now nCino)"
28,22,"Aspire Systems - Cardiff Office"
28,23,"Protein Data Bank in Europe (PDBe)"
28,24,"University of Cambridge Investment Management Limited"
28,25,"Brunel Composites Centre (BCC)"
29,1,"PEARSON DIGITAL LIMITED"
29,2,"Active Building"
29,3,"Bristol Centre for Supercomputing (BriCS)"
29,4,"Hampton by Hilton Bristol Airport"
29,5,"University of Bristol Law Clinic"
29,6,"CARE FUSION LIMITED"
29,7,"OVO ENERGY LTD"
29,8,"Nuffield Health Edinburgh Hospital"
29,9,"Coherent Systems Limited"
29,10,"Hampton by Hilton Edinburgh West End"
29,11,"CLOUD SECURITY ALLIANCE (EUROPE)"
29,12,"CURO"
29,13,"DoubleTree by Hilton Edinburgh Airport"
29,14,"Parenting for Lifelong Health"
29,15,"Opera software"
29,16,"ADITI IT SOLUTIONS LIMITED"
29,17,"Hampton by Hilton Sheffield"
29,18,"Idaq Limited"
29,19,"GCPS Consulting"
29,20,"Lightwork Design (now part of Siemens Industry Software)"
29,21,"Delicious Alchemy Wellbeing Ltd."
29,22,"technologi Worldwide Limited"
29,23,"Johnson Controls Global Marine & Navy"
29,24,"Scale Space Nottingham"
29,25,"DoubleTree by Hilton Nottingham - Gateway Hotel"
30,1,"BA (Hons) Fashion Marketing and Branding (Nottingham Trent University)"
30,2,"Hilltop Financial Planning"
30,3,"THE NATURE'S BOUNTY CO. LTD."
30,4,"City-REDI, University of Birmingham"
30,5,"Liberal Arts and Natural Sciences at the University of Birmingham"
30,6,"Birmingham BabyLab"
30,7,"WMREDI, University of Birmingham"
30,8,"CHASM - Centre on Household Assets and Savings Management"
30,9,"Birmingham Widening Access to Medical Sciences"
30,10,"Birmingham Tissue Analytics"
30,11,"Microwave Integrated Systems Laboratory (MISL)"
30,12,"Extreme Robotics Lab"
30,13,"Ecosystems IT Ltd"
30,14,"ClickIQ"
30,15,"INEED NETWORKING TOGETHER LIMITED"
30,16,"Daisy Group"
30,17,"School of Chemistry, UNSW Sydney"
30,18,"Brunel Law School"
30,19,"Department of Sport, Health and Exercise Sciences - Brunel University of London"
30,20,"School of Computing and Engineering"
30,21,"Hilton Garden Inn Silverstone"
30,22,"MY BOOKKEEPERS LTD"
30,23,"Fordham"
30,24,"TSYS Managed Services EMEA"
30,25,"Tunstall Healthcare (UK)"
31,1,"Patient Connect"
31,2,"Nuffield Health Tunbridge Wells Hospital"
31,3,"Nuffield Health Ipswich Hospital"
31,4,"Nuffield Health Woking Hospital"
31,5,"Nuffield Health Bournemouth Hospital"
31,6,"Retrogenix | A Charles River Company"
31,7,"Nuffield Health The Holly Hospital"
31,8,"Nuffield Health Brentwood Hospital"
31,9,"Electron Microscopy Suite at The Open University"
31,10,"Centre for Natural Products Discovery (CNPD)"
31,11,"Durham CELLS"
31,12,"Hydratight"
31,13,"Conekt - UK"
31,14,"WINCOR NIXDORF LTD"
31,15,"Smurfit Westrock Chelmsford"
31,16,"Safe Obstetric Systems"
31,17,"Rotork"
31,18,"First Grade International"
31,19,"PNN INVESTMENTS LTD"
31,20,"Tesco"
31,21,"Next"
31,22,"Howdens Joinery Brunswick"
31,23,"Box"
31,24,"ML AND COMPANY LIMITED"
31,25,"Next PLC (NXG)"
32,1,"D'Addario Europe Ltd"
32,2,"HDR | Bradbrook Consulting"
32,3,"ROOFING MAINTENANCE SERVICES LIMITED"
32,4,"Connect Plus"
32,5,"H & C CONTRACTS LIMITED"
32,6,"Cool Systems Air Conditioning Limited"
32,7,"Mayer Brown Ltd"
32,8,"BCS Group"
32,9,"Marshalls Civils & Drainage"
32,10,"Naz Construction Ltd"
32,11,"E.J.Taylor & Sons Ltd"
32,12,"ASHLANE GROUP LIMITED"
32,13,"Solihull Metropolitan Borough Council"
32,14,"Maidstone Borough Council"
32,15,"Canterbury City Council"
32,16,"NHSE and DHSC Student Analyst Undergraduate Placement Scheme"
32,17,"East Sussex County Council"
32,18,"MOLLY MAID"
32,19,"Guernsey Kidney Patients Association"
32,20,"Endeavor Ireland"
32,21,"Durham University Centre for Research into Violence and Abuse (CRiVA)"
32,22,"University of Birmingham MathSoc"
32,23,"UK Universities Climate Network"
32,24,"Sport at Staffs"
32,25,"Snap Fitness Market Harborough"
33,1,"The Rank Group plc"
33,2,"The Stars Group"
33,3,"Snap Fitness Ilkeston"
33,4,"Nuffield Health Fitness & Wellbeing - Chester"
33,5,"The Fitness Centre at Durham University"
33,6,"Lapworth Museum of Geology"
33,7,"Durham University Basketball Club"
33,8,"THE OLD SCHOOL LIMITED"
33,9,"The Trilogy Studio"
33,10,"Ecotricity"
33,11,"Electricity Alliance West"
33,12,"Mainlight Ltd"
33,13,"ista Energy UK"
33,14,"GTC"
33,15,"Biogen (UK) Ltd"
33,16,"National Gas Metering"
33,17,"Pedagogy and Education Research Unit, School of Psychology & Neuroscience"
33,18,"Oral Sciences Research Group"
33,19,"Young Strathclyder Programme"
33,20,"Managing Art & Cultural Heritage in Global Markets"
33,21,"Glasgow Centre for Sustainable Energy"
33,22,"The Strathclyde Institute for Sustainable Communities (SISC)"
33,23,"Maritime Safety Research Centre - University of Strathclyde"
33,24,"University of Glasgow, Materials and Condensed Matter Physics Group"
33,25,"SOLSPACE"
34,1,"Centre for Medical and Industrial Ultrasonics (C-MIU)"
34,2,"HEHTA University of Glasgow"
34,3,"James Weir Fluids Laboratory"
34,4,"Leviton Network Solutions Europe"
34,5,"Tag Games, a Scopely Studio"
34,6,"Aerospace Centre of Excellence"
34,7,"HATII at the University of Glasgow"
34,8,"TIC Conferences, Meetings & Events"
34,9,"TH PROJECTS LTD"
34,10,"Tesco Insurance and Money Services"
34,11,"Tweed Financial Planning ltd"
34,12,"Scottish Widows Investment Partnership"
34,13,"Schroder Uk Mid Cap Fund Plc"
34,14,"Glasgow Computational Engineering Centre"
34,15,"Signal of Glasgow"
34,16,"Glasgow University Environmental Sustainability Team"
34,17,"Samtaler (The Social Value Agency)"
34,18,"MITSUBISHI ELECTRIC AIR CONDITIONING SYSTEMS EUROPE LTD."
34,19,"Critical Technologies Accelerator"
34,20,"ANDRITZ Hydro Hammerfest"
34,21,"Bangor University"
34,22,"Newport Youth Academy"
34,23,"Newport City Council"
34,24,"NCE Group"
34,25,"Anchor Computer Systems Ltd"
35,1,"Oyster Bay Systems Limited"
35,2,"Animal Friends"
35,3,"Chartered Banker Institute"
35,4,"BURLINGTON FABRICS LIMITED"
35,5,"PROTHERICS UK LIMITED"
35,6,"Food and Drink Wales Industry Board"
